signal,wer,ref_text,hyp_text,ref_norm,hyp_norm
c657dc0bd1f822f8ff7104a1,0.0, I am truly alone, I am truly alone,i am truly alone,i am truly alone
5ab5a95be3c18dc173fdc18e,0.2857142857142857," Lang as we dance, we are varnas."," Long as we dance, we are borners.",lang as we dance we are varnas,long as we dance we are borners
795996ed006725199e5efc0b,0.42857142857142855, I had to rock before I made., I had rocked the floor I made.,i had to rock before i made,i had rocked the floor i made
ff6946553173184eae036062,0.0, That's the way it's supposed to be., That's the way it's supposed to be.,thats the way its supposed to be,thats the way its supposed to be
95e1416bf854594d6716ab25,0.7142857142857143, But be happy son of the gans!, But be half the son again,but be happy son of the gans,but be half the son again
29dbd8d2300642cfd31b4604,0.0, But when I come around, But when I come around,but when i come around,but when i come around
1d887341bdf775c49d8a0c30,0.0, You can know my hand., You can know my hand.,you can know my hand,you can know my hand
77dda6054a517033716f00ff,0.0," Looking back at me, it could be seven."," Looking back at me, it could be seven.",looking back at me it could be seven,looking back at me it could be seven
8e4cfa2df03c1076ff189821,0.0, I have to cry on someone else., I have to cry on someone else.,i have to cry on someone else,i have to cry on someone else
51846fccdf380d6f09a9699e,0.6666666666666666, Halloween will lift you into paradise., I'll be with you until paradise.,halloween will lift you into paradise,ill be with you until paradise
d6a9e1b6f405e3e061bbc394,1.2, A light that underwires you.," Oh, why, sir, under why are you?",a light that underwires you,oh why sir under why are you
2dd0edaf5ee6e907b6b87897,0.0, Your mighty pen is stirring., Your mighty pen is stirring,your mighty pen is stirring,your mighty pen is stirring
97bea51b250b322aa61f3212,0.0, Will I ever learn to be myself?, Will I ever learn to be myself?,will i ever learn to be myself,will i ever learn to be myself
22412ee63a0ce39325b7f1a9,0.0," But be happy, son of the gans!"," But be happy, son of the gans!",but be happy son of the gans,but be happy son of the gans
5c0a7081614734384197a20b,1.75, I'm so blown out., I have to cry on someone else.,im so blown out,i have to cry on someone else
e9b2261621783f80b4cb72ea,7.0, you, That's the way it's supposed to be.,you,thats the way its supposed to be
02c69da592e90fbb6f731541,0.0," Looking back at me, it could be seven."," Looking back at me, it could be seven.",looking back at me it could be seven,looking back at me it could be seven
d58123ff532d0ac98037bfa5,0.0, I am truly alone, I am truly alone,i am truly alone,i am truly alone
807b8bf20474fed92b2f7b2d,0.0, But when I come around, But when I come around,but when i come around,but when i come around
7a51d406a61788b58f00654b,0.14285714285714285," Long as we dance, we are varnas."," Long as we dance, we are partners.",long as we dance we are varnas,long as we dance we are partners
deeda867a81f10037eaee380,0.6666666666666666," Oh, life's better under wire, you."," Oh, why, sir, under why are you?",oh lifes better under wire you,oh why sir under why are you
5cf95b3c90b285622e516e64,0.0, Will I ever learn to be myself?, Will I ever learn to be myself?,will i ever learn to be myself,will i ever learn to be myself
8ed3496ac812389725ed2060,0.0, You can know my hand., You can know my hand.,you can know my hand,you can know my hand
89d3e6cd16abec7b538e75bc,0.14285714285714285, I had to walk before I made., I had to rock before I made.,i had to walk before i made,i had to rock before i made
ca8e4f72fb82d5b598a0c131,5.0, you, I'll leave you in two minutes.,you,ill leave you in two minutes
5cd3f6666e7920b7ca725490,0.4, Your mighty hand is turning, Your mighty pen is stirring,your mighty hand is turning,your mighty pen is stirring
594d085d0b23f685970139d6,0.0, I have to cry on someone else., I have to cry on someone else.,i have to cry on someone else,i have to cry on someone else
a89c3c861f5a57a9ade64d27,0.0," Looking back at me, it could be seven,"," Looking back at me, it could be seven.",looking back at me it could be seven,looking back at me it could be seven
1255127ec5a5db705458c36b,0.0, I am truly alone, I am truly alone,i am truly alone,i am truly alone
f0272f04b8f0e9aeae54ec31,0.0, That's the way it's supposed to be., That's the way it's supposed to be.,thats the way its supposed to be,thats the way its supposed to be
3d396cb13ce260fca38b7635,0.75," I love you, I left you into paradise.", I'll be with you until paradise.,i love you i left you into paradise,ill be with you until paradise
fae705f0a7386ce12e070228,3, ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ, But beha-sund agains!,,but behasund agains
0f805fd6742e639370f6e6e6,5.0, you, But when I come around,you,but when i come around
52a29beae465afea1dcf9bc1,0.0, Your mighty pen is stirring, Your mighty pen is stirring,your mighty pen is stirring,your mighty pen is stirring
2d84faf896231f94341f20ac,0.5714285714285714," Oh, why, sir, under why are you?"," Oh, why, Seth, they're under wire, you.",oh why sir under why are you,oh why seth theyre under wire you
406eb6b2215b3e7318fac336,0.14285714285714285," Long as we dance, we are partners."," Long as we dance, we are borners.",long as we dance we are partners,long as we dance we are borners
814151588161f46e55aa867f,0.7142857142857143, I have to watch what I make., I had rocked the poor I made.,i have to watch what i make,i had rocked the poor i made
72d4a0f9223d8367187b1bcf,0.42857142857142855, When I ever loved to meet myself, Will I ever learn to be myself?,when i ever loved to meet myself,will i ever learn to be myself
8e98d43842f6c556ab0d579f,4.0, you, You can know my hand.,you,you can know my hand
134164ae70296696c728d777,0.0, You can find your way back home, You can find your way back home.,you can find your way back home,you can find your way back home
760358d2e31daf5445893b4b,1.0," You will make a bomb, yeah!",你我沒個忙耶,you will make a bomb yeah,
6a9057199e764484cb014bda,4.0, you, You got a master's beat.,you,you got a masters beat
a64d4113468855bd15f70d16,0.0, Well I wish you'd love me, Well I wish you'd love me,well i wish youd love me,well i wish youd love me
7253b96c3236af5867f5980a,8.0, you," I'll forget, that's what's seeing and tells me.",you,ill forget thats whats seeing and tells me
7090f27538cef83d0e073b76,0.0, Raising you is not my thing., Raising you is not my thing,raising you is not my thing,raising you is not my thing
