signal,prompt,n_words,meta_correctness,asr_text,asr_words_correct,asr_correctness,abs_error,note
c221f2084c780e8f212f4697,cos you better hold on,5,0.0,Could you better hold on?,4,0.8,0.8,
63de05fbfcab2d7748b83cb3,and then lower it down again,6,0.1666666667,And then roll it down again.,5,0.8333333333333334,0.6666666666333334,
cf74c013a02d82d04254a910,the blind sleep and the deaf and dumb sleep,9,0.7777777778,"So fly, sleeper than death and up sleep",2,0.2222222222222222,0.5555555555777778,
56f3fb4847d2c90f38e8e983,a street a couple of cars and maybe some trees,10,0.0,Always worked in a different military room...,1,0.1,0.1,
b2486a8e181f84acd2db4d61,in my mind i can see is fine,8,0.0,REPEAT FOR ME,0,0.0,0.0,
4119c3d170a7c478c00ef21d,we slaves and we masters flesh out beast disasters,9,0.2222222222,"We fight them, we master, but shall be disastrous.",2,0.2222222222222222,2.2222196305321518e-11,
60aa30c1cde48138efe6d172,you are sleeping with a pig,6,0.8333333333,You're sleeping with a pig.,4,0.6666666666666666,0.1666666666333334,
710c8b1d9cc589b5414634bb,but maybe getting far from the dark,7,1.0,But maybe get far from the dark,6,0.8571428571428571,0.1428571428571429,
09449f9926c4222b7b6d0460,cheyenne cheyenne hop on the ponies,6,0.0,All right,0,0.0,0.0,
6cc97125bb708b1fa5a55e7e,he was mauvish in the shops,6,0.1666666667,He would know which in the child,3,0.5,0.33333333330000003,
785b38c0c7c95596841b774a,sorry i let you down if i let you down,10,0.3,"Sorry, let's you down, let's you down",5,0.5,0.2,
e340f5b527e16b27918bb488,when all the lamps are burning,6,0.0,"When I'm the man, the man",2,0.3333333333333333,0.3333333333333333,
505e41e64c89521d538d341e,banana run looks like i am pulling a banana run,10,0.8,"Banana run, looks like I'm rolling on banana run",6,0.6,0.20000000000000007,
a2bf283251ea0a8fffd405f3,torrentuous weather squirrel next door,5,0.0,,0,0.0,0.0,
1e0ac06833c99c0f85c480ae,circle down like the tiniest thing,6,0.0,ホimar,0,0.0,0.0,
bdb1b2a6bdea4bcf6d03e11f,the smile on their face bloom,6,0.1666666667,Music Music,0,0.0,0.1666666667,
eb39f8b0348072e4b3338267,it is a pretty crazy life,6,1.0,It's a pretty crazy life.,4,0.6666666666666666,0.33333333333333337,
36f3de956a05ac554dfbaace,check out the fools donkeys and the mules,8,0.0,Check out the files! Doc is in the news!,4,0.5,0.5,
cdde9f619e3283c5f480a301,i pressed the coupons on him and i,8,0.875,I press the bombsalone landite,2,0.25,0.625,
5894ea05e72409cb1f2a41ee,come along with me and all we know,8,0.125,then so,0,0.0,0.125,
ab02dcb872c137891a35d24c,while its dark as a dungeon,6,0.0,��,0,0.0,0.0,
669998815203ecf37ec81702,and it is all they will know,7,0.0,Rainy breeze A Heat L Psychic Turn,0,0.0,0.0,
492ecbe6f6061b792be3ae77,have belief in your dream,5,0.0,audience accented by singing,0,0.0,0.0,
e314b03655e0536e3ead4a91,just moving to the groove until your body melts away,10,0.7,He does move and do the move until your body left way.,4,0.4,0.29999999999999993,
7c6e319c17154e7b8c4a2614,i want to feel your love,6,0.5,I wanna hear your voice.,2,0.3333333333333333,0.16666666666666669,
b33b32919818c7feadb5c53a,equals makeout six point four,5,0.6,People make out! 6.4!,0,0.0,0.6,
ce08a369d7b182a301862cdd,once you told me i will never leave you,9,1.0,Once you told me I'll never leave you,7,0.7777777777777778,0.2222222222222222,
ac7c3fbbc1df5dcb94c299f2,i have got a drum machine and can of beans,10,0.3,I just want to sing and I can't be.,2,0.2,0.09999999999999998,
354f49eab17dbf1d2f7cd98d,i am here for a lowlife,6,0.3333333333,Because Frank demonstrating a little bit is called traditions. If that all worked outwriting Apple't увидesteal.com,1,0.16666666666666666,0.16666666663333332,
9e249b3100f2ff343b18abab,everything turned out so good,5,1.0,"Everybody out, out so close",2,0.4,0.6,
e2b1c504215b39ac2206f967,one day i went down that railroad ?,8,0.875,One day I went down that railroad bed,7,1.0,0.125,
debc7a0caf0efbaf2dfa904f,do you ever feel like you want to be someone else,11,0.0,I'm not a bad guy. I'm not a bad guy. I'm not a bad guy.,0,0.0,0.0,
6926839e1e229febe72e78dc,it hurts so bad it hurts,6,0.0,I,0,0.0,0.0,
3542753cb386c33362bf16f0,you cannot rest you bones,5,0.0,Four of you requested for a 아파,1,0.2,0.2,
ddf55e8879739a95551842a2,i see people with a hunger,6,0.1666666667,I see people with a handkerchief.,5,0.8333333333333334,0.6666666666333334,
